,Longitude,Latitude,Total Detections,Unique Detections
0,113.88552,-2.31778,4,3
1,113.88971000000001,-2.30993,2,1
2,113.88175,-2.3077099999999997,4,2
3,113.88845,-2.31236,1,1
4,113.88286000000001,-2.31236,0,0
5,113.83953000000001,-2.30384,13,6
6,113.84865,-2.3061599999999998,6,4
7,113.83592,-2.30057,23,8
8,113.83941000000002,-2.31324,0,0
9,113.84716,-2.31027,5,4
10,113.82928000000001,-2.31123,0,0
11,113.8952,-2.3310400000000002,0,0
12,113.8964679837,-2.3310998919999997,0,0
13,113.89079,-2.33771,1,1
14,113.89078,-2.3378900000000002,5,1
15,113.88718,-2.34381,0,0
16,113.88622,-2.345767,0,0
17,113.88157,-2.3535,4,3
18,113.81503000000001,-2.3199099999999997,0,0
19,113.80616,-2.31911,11,2
20,113.80636000000001,-2.30796,8,4
21,113.81456999999999,-2.30824,11,2
22,113.90953999999999,-2.32634,2,2
23,113.90898999999999,-2.32039,0,0
24,113.90355,-2.3311,1,1
25,113.90468999999999,-2.31149,0,0
26,113.89461000000001,-2.32274,3,1
27,113.91178000000001,-2.32,1,1
28,113.89618,-2.31996,0,0
29,113.90977,-2.32163,0,0
30,113.89766000000002,-2.32348,1,1
31,113.89132,-2.3235900000000003,3,1
32,113.91082,-2.32311,6,3
33,113.91212,-2.32651,3,2
34,113.8858,-2.3281,0,0
35,113.8881,-2.32822,0,0
36,113.90221000000001,-2.32843,2,1
37,113.89411000000001,-2.3283400000000003,0,0
38,113.90195,-2.32477,0,0
39,113.91305,-2.32254,4,2
40,113.88991999999999,-2.3310400000000002,0,0
41,113.88653000000001,-2.33105,0,0
42,113.90666,-2.3313599999999997,5,2
43,113.90347,-2.33118,3,2
44,113.90003999999999,-2.3136400000000004,0,0
45,113.89366000000001,-2.31517,0,0
46,113.8972,-2.31236,2,1
47,113.90352,-2.31435,1,1
48,113.91048,-2.31753,1,1
49,113.91516999999999,-2.32003,2,2
50,113.89396,-2.31607,0,0
51,113.9007,-2.31651,0,0
52,113.89168000000001,-2.3159,0,0
53,113.88941000000001,-2.3162,0,0
54,113.88468,-2.32311,2,2
55,113.91401,-2.32324,5,2
56,113.8957,-2.32861,0,0
57,113.88525545596701,-2.3280913473333302,0,0
58,113.89891999999999,-2.32832,0,0
59,113.91501000000001,-2.3283,3,1
60,113.89353,-2.3245299999999998,1,1
61,113.888300657267,-2.331009591,0,0
62,113.87929,-2.3311,0,0
63,113.91156000000001,-2.32806,6,2
64,113.893988728533,-2.323681796,0,0
65,113.90433999999999,-2.32354,0,0
66,113.9044,-2.32366,0,0
